mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-12-17 04:36:27.552624896,-74.9,-109.32,1248.0,70.0,-1127.0,62.7,536.0,97.6,6,S,1B,3031
2022-01-05 15:44:36.575109120,-74.9,-109.32,1356.0,37.0,-1271.0,36.5,473.0,37.8,30,S,2B,3031
2021-11-01 05:09:10.942836992,-74.9,-109.32,1353.0,114.0,-1251.0,117.5,516.0,88.3,5,S,1A,3031
2018-06-20 10:00:09.903009280,-74.9,-109.32,1282.0,106.0,-1227.0,102.3,369.0,138.7,6,S,1B,3031
2021-01-14 15:24:45.575109120,-74.9,-109.32,1357.0,13.0,-1275.0,13.2,466.0,13.4,109,S,2B,3031
2018-06-02 10:00:08.631823104,-74.9,-109.32,1571.0,137.0,-1474.0,127.9,545.0,188.0,5,S,1A,3031
2021-05-29 10:00:27.081436928,-74.9,-109.32,1373.0,154.0,-1289.0,147.7,474.0,195.1,5,S,1A,3031
2021-03-06 10:00:23.884012032,-74.9,-109.32,1364.0,112.0,-1283.0,107.5,464.0,140.9,5,S,1A,3031
2018-09-10 04:36:09.897440256,-74.9,-109.32,1330.0,60.0,-1285.0,56.5,342.0,100.8,5,S,1A,3031
2018-02-21 04:36:21.737686784,-74.9,-109.32,1266.0,43.0,-1186.0,40.8,443.0,57.0,11,S,1A,3031
2019-11-22 04:36:16.746626816,-74.9,-109.32,1269.0,83.0,-1119.0,71.7,599.0,114.2,6,S,1B,3031
2022-01-07 15:10:38.298850816,-74.9,-109.32,1495.0,102.0,-1433.0,106.2,428.0,28.4,7,L,9.0,3031
2018-12-08 09:59:53.278138112,-74.9,-109.32,1420.0,80.0,-1354.0,76.0,430.0,111.8,11,S,1B,3031
2020-01-26 10:00:39.656190976,-74.9,-109.32,1317.0,85.0,-1197.0,81.1,548.0,103.2,11,S,1A,3031
2022-01-01 15:14:43.575109120,-74.9,-109.32,1334.0,36.0,-1251.0,36.0,462.0,36.9,20,S,2B,3031
2018-04-19 04:36:01.761286912,-74.9,-109.32,1320.0,67.0,-1258.0,57.8,398.0,126.1,5,S,1A,3031
2018-12-26 05:09:13.681822976,-74.9,-109.32,1404.0,92.0,-1308.0,95.1,509.0,72.2,11,S,1A,3031
2021-03-10 04:36:19.371738624,-74.9,-109.32,1335.0,73.0,-1239.0,67.8,497.0,100.9,5,S,1A,3031
2020-11-06 10:00:27.831920128,-74.9,-109.32,1200.0,139.0,-1135.0,133.8,390.0,174.7,5,S,1A,3031
2018-12-05 10:00:14.333892096,-74.9,-109.32,1584.0,139.0,-1480.0,130.8,566.0,184.7,6,S,1B,3031
2021-11-07 15:14:46.575109120,-74.9,-109.32,1369.0,21.0,-1306.0,21.4,413.0,22.0,49,S,2B,3031
2020-01-09 04:36:14.781755136,-74.9,-109.32,1283.0,73.0,-1220.0,65.5,395.0,121.0,6,S,1B,3031
2018-11-27 04:36:09.985718016,-74.9,-109.32,1361.0,86.0,-1281.0,78.7,459.0,131.0,6,S,1B,3031
2021-12-29 07:34:20.307305728,-74.9,-109.32,1385.0,54.0,-1283.0,53.2,521.0,58.4,15,L,9.0,3031
2018-02-23 03:43:09.075109120,-74.9,-109.32,1307.0,42.0,-1236.0,42.5,422.0,39.5,14,S,2A,3031
2021-01-27 04:36:20.153350144,-74.9,-109.32,1304.0,78.0,-1226.0,68.2,442.0,131.1,6,S,1B,3031
2021-03-04 04:36:19.345504000,-74.9,-109.32,1268.0,48.0,-1211.0,45.5,376.0,70.1,6,S,1B,3031
2018-12-02 05:09:14.524544000,-74.9,-109.32,1394.0,100.0,-1350.0,101.6,349.0,64.2,11,S,1A,3031
2021-02-28 05:09:01.268256000,-74.9,-109.32,1367.0,139.0,-1321.0,141.9,352.0,87.3,6,S,1B,3031
2019-11-18 10:00:21.379340032,-74.9,-109.32,1195.0,118.0,-1137.0,114.4,367.0,150.3,6,S,1B,3031
2021-12-07 05:09:09.883453952,-74.9,-109.32,1395.0,143.0,-1352.0,144.8,343.0,114.6,5,S,1A,3031
2021-12-04 05:08:47.250903040,-74.9,-109.32,1361.0,246.0,-1258.0,263.2,518.0,85.7,11,S,1B,3031
2016-10-08 04:36:17.801280000,-74.9,-109.32,1615.0,232.0,-1559.0,238.4,424.0,108.1,6,S,1B,3031
2018-06-18 04:36:05.178336000,-74.9,-109.32,1289.0,61.0,-1240.0,57.5,353.0,96.2,5,S,1A,3031
2018-03-26 04:36:00.940913920,-74.9,-109.32,1330.0,41.0,-1291.0,38.9,319.0,64.0,5,S,1A,3031
2018-03-05 04:36:21.721665024,-74.9,-109.32,1285.0,46.0,-1200.0,43.1,460.0,61.3,11,S,1A,3031
2018-04-03 10:00:05.878256896,-74.9,-109.32,1393.0,151.0,-1336.0,146.9,396.0,191.6,5,S,1A,3031
2020-08-24 04:36:21.790062080,-74.9,-109.32,1244.0,100.0,-1139.0,98.3,500.0,107.0,6,S,1B,3031
2021-07-16 05:09:07.302620928,-74.9,-109.32,1352.0,101.0,-1277.0,100.2,442.0,104.0,5,S,1A,3031
2021-12-25 05:09:08.919622912,-74.9,-109.32,1363.0,110.0,-1261.0,111.0,518.0,104.5,6,S,1B,3031
2016-12-19 04:36:16.612124928,-74.9,-109.32,1449.0,342.0,-1370.0,355.8,474.0,188.1,6,S,1B,3031
2019-02-01 04:36:07.831043072,-74.9,-109.32,1294.0,56.0,-1140.0,44.5,611.0,84.9,5,S,1A,3031
2017-01-18 04:36:14.504440064,-74.9,-109.32,1377.0,293.0,-1281.0,308.4,506.0,156.8,5,S,1A,3031
2018-12-18 04:36:30.091882240,-74.9,-109.32,1300.0,50.0,-1214.0,48.2,464.0,61.7,11,S,1A,3031
2020-09-13 10:00:27.263805952,-74.9,-109.32,1129.0,150.0,-1092.0,146.2,286.0,199.6,6,S,1B,3031
2021-07-04 05:09:06.519439872,-74.9,-109.32,1351.0,137.0,-1257.0,142.5,497.0,97.3,5,S,1A,3031
2018-12-24 04:35:48.225382912,-74.9,-109.32,1305.0,51.0,-1235.0,49.2,421.0,66.3,11,S,1B,3031
2021-12-26 15:44:37.075109376,-74.9,-109.32,1391.0,40.0,-1306.0,39.6,477.0,41.9,10,S,2B,3031
2021-07-02 04:36:24.543144960,-74.9,-109.32,1273.0,79.0,-1061.0,71.5,703.0,94.7,6,S,1B,3031
2021-12-28 03:16:42.877733120,-74.9,-109.32,1310.0,52.0,-1220.0,52.6,476.0,46.9,74,L,9.0,3031
2017-11-26 04:36:03.487872000,-74.9,-109.32,1344.0,79.0,-1213.0,62.9,579.0,127.1,5,S,1A,3031
2021-12-17 15:14:44.075109120,-74.9,-109.32,1356.0,29.0,-1264.0,28.6,491.0,29.5,30,S,2B,3031
2021-03-15 10:00:03.068806912,-74.9,-109.32,1353.0,71.0,-1276.0,69.3,450.0,83.4,12,S,1B,3031
2021-11-20 15:24:43.575109120,-74.9,-109.32,1361.0,16.0,-1290.0,16.5,434.0,12.1,49,S,2B,3031
2020-11-22 04:36:22.906028032,-74.9,-109.32,1305.0,58.0,-1239.0,52.8,409.0,93.3,5,S,1A,3031
2019-01-20 04:36:08.133740288,-74.9,-109.32,1386.0,87.0,-1272.0,75.4,550.0,133.6,5,S,1A,3031
2021-12-27 15:14:43.575109120,-74.9,-109.32,1352.0,21.0,-1267.0,20.8,473.0,25.8,49,S,2B,3031
2017-01-22 15:12:52.075109120,-74.9,-109.32,1570.0,35.0,-1517.0,35.5,403.0,33.0,20,S,2A,3031
2020-01-21 04:36:14.324262656,-74.9,-109.32,1291.0,64.0,-1212.0,56.5,445.0,102.5,6,S,1B,3031
2022-01-07 15:35:23.355460864,-74.9,-109.32,1339.0,35.0,-1233.0,34.5,520.0,37.5,47,L,9.0,3031
2021-03-03 05:08:38.547906048,-74.9,-109.32,1389.0,71.0,-1242.0,74.6,622.0,52.9,11,S,1B,3031
